UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2005,4,1,Unleashing kids potential what parents grandparents and teachers need to know,,"Child development, Parent and child, Parent teacher relationships, Grandparent and child, Child rearing",,
Physical,Horizon,BOOK,2005,4,1,Nutrition and physical degeneration,,"Civilization, Nutritional anthropology, Nutritionally induced diseases, Nutrition and dental health",,
Physical,Horizon,BOOK,2005,4,1,La guerre de Troie n'aura pas lieu : pièce en deux actes / Jean Giraudoux.,"Giraudoux, Jean, 1882-1944","Helen of Troy Greek mythology Drama, Trojan War Drama, Historical drama, Verse drama","B. Grasset,",[1989]
Physical,Horizon,BOOK,2005,4,1,"Heart of the rock : the Indian invasion of Alcatraz / by Adam Fortunate Eagle ; in collaboration with Tim Findley ; foreword by Vine Deloria, Jr. ; photographs by Vincent Maggiora, Brooks Townes, and Ilka Hartmann ; photoediting by Ilka Hartmann.","Fortunate Eagle, Adam, 1929-","Indians of North America Government relations, Indians of North America Urban residence, Indians of North America Ethnic identity, Alcatraz Island Calif History Indian occupation 1969 1971","University of Oklahoma Press,",c2002.
Physical,Horizon,BOOK,2005,4,1,Stable girl working for the family,,"Horses, Standardbred horse, Synder Danielle Juvenile literature, Snyder Danielle, Harness racing Juvenile literature, Stables Management Juvenile literature, Standardbred horse Juvenile literature, Harness racing, Stables Management",,
Physical,Horizon,BOOK,2005,4,1,Tomb Raider saga of the medusa mask starring Lara Croft,,"Graphic novels, Croft Lara Fictitious character Comic books strips etc",,
Physical,Horizon,BOOK,2005,4,1,Large sea creatures,,"Marine animals, Marine animals Juvenile literature",,
Physical,Horizon,BOOK,2005,4,1,Lone star nation : how a ragged army of volunteers won the battle for Texas independence -- and changed America / H.W. Brands.,"Brands, H. W.","Texas History Revolution 1835 1836, Texas History To 1846, Texas History 1846 1850","Doubleday,",2004.
Physical,Horizon,BOOK,2005,4,1,Rendezvous with death,,"Mystery fiction, London England Social life and customs 19th century Fiction, Police England London Fiction, Murder Investigation Fiction",,
Physical,Horizon,BOOK,2005,4,18,Mister Seahorse / Eric Carle.,"Carle, Eric","Father and child Juvenile fiction, Sea horses Juvenile fiction, Fishes Fiction","Philomel Books,",c2004.
Physical,Horizon,SOUNDDISC,2005,4,3,The very best of Manhattan Transfer [sound recording].,Manhattan Transfer (Musical group),"Jazz 1971 1980, Jazz 1981 1990, Jazz vocals, Popular music 1971 1980, Popular music 1981 1990","Rhino,",p1994.
Physical,Horizon,SOUNDDISC,2005,4,4,Hilary Duff,,Popular music 2001 2010,,
Physical,Horizon,BOOK,2005,4,1,Occupation Nazi hunter the continuing search for the perpetrators of the Holocaust,,"Zuroff Efraim, Simon Wiesenthal Center, Criminal investigation, World War 1939 1945 Atrocities, Holocaust Jewish 1939 1945, War criminals, United States Dept of Justice Office of Special Investigations",,
Physical,Horizon,BOOK,2005,4,1,How to do a demo quality recording in your bedroom,,"Sound Recording and reproducing, Sound studios",,
Physical,Horizon,VIDEOCASS,2005,4,1,Rumpole and the younger generation Rumpole and the honourable member,,"Detective and mystery television programs, Rumpole Horace Fictitious character Drama, Lawyers England London Drama",,
Physical,Horizon,SOUNDDISC,2005,4,3,door,,Blues Music 1991 2000,,
